,행정구역별(2),행정구역별(3),2007,2007.1
1,행정구역별(2),행정구역별(3),사업체수 (개),종사자수 (명)
2,대전,소계,1417,36875
3,경기,수원시,474,40574
4,강원,원주시,454,12505
5,충북,청주시,505,26824
6,경북,구미시,1225,86991
7,제주,제주시,282,3510
8,경기,양평읍,93,384
9,강원,홍천읍,30,713
10,,평창읍,13,247
11,경북,의성읍,16,270
